Date,Wheat,Coffe,Corn
8/20/1973,5.085,0.6735,3.115
8/21/1973,5.285,0.671,3.015
8/22/1973,5.085,0.658,2.915
8/23/1973,5.005,0.6675,2.815
8/24/1973,5.18,0.666,2.9
8/27/1973,5.08,0.659,2.8
8/28/1973,4.889,0.64,2.6785
8/29/1973,5.056,0.6345,2.619
8/30/1973,4.8725,0.6387,2.509
8/31/1973,4.974,0.6402,2.5035
9/4/1973,4.775,0.6432,2.405
9/5/1973,4.575,0.637,2.305
9/6/1973,4.745,0.636,2.37
9/7/1973,4.945,0.638,2.47
9/10/1973,4.985,0.6335,2.44
9/11/1973,5.185,0.6302,2.4875
9/12/1973,4.985,0.6365,2.3875
9/13/1973,5.085,0.645,2.415
9/14/1973,5.25,0.6645,2.4975
9/17/1973,5.36,0.6575,2.5975
9/18/1973,5.16,0.6562,2.4975
9/19/1973,5.31,0.6515,2.495
9/20/1973,5.245,0.648,2.5
9/21/1973,5.07,0.6465,2.485
9/24/1973,5.1,0.657,2.585
9/25/1973,4.995,0.673,2.6025
9/26/1973,4.795,0.684,2.5175
9/27/1973,4.73,0.6855,2.51
9/28/1973,4.915,0.6782,2.5225
10/1/1973,4.715,0.68,2.475
10/2/1973,4.555,0.6847,2.4275
10/3/1973,4.755,0.6845,2.5125
10/4/1973,4.715,0.6812,2.4375
10/5/1973,4.785,0.6822,2.455
10/9/1973,4.955,0.677,2.555
10/10/1973,4.755,0.6795,2.62
10/11/1973,4.73,0.6702,2.635
10/12/1973,4.62,0.6507,2.535
10/15/1973,4.42,0.6415,2.4375
10/16/1973,4.22,0.6433,2.3962
10/17/1973,4.18,0.642,2.4475
10/18/1973,4.365,0.6493,2.46
10/19/1973,4.305,0.652,2.4125
10/23/1973,4.535,0.652,2.395
10/24/1973,4.735,0.6453,2.4475
10/25/1973,4.645,0.6483,2.5025
10/26/1973,4.455,0.6478,2.445
10/29/1973,4.255,0.6438,2.345
10/30/1973,4.195,0.6448,2.36
10/31/1973,4.305,0.6505,2.385
11/1/1973,4.345,0.6544,2.3975
11/2/1973,4.31,0.6475,2.3625
11/5/1973,4.51,0.652,2.3725
11/7/1973,4.495,0.655,2.34
11/8/1973,4.54,0.657,2.3725
11/9/1973,4.425,0.657,2.38
11/12/1973,4.545,0.661,2.48
11/13/1973,4.645,0.657,2.535
11/14/1973,4.845,0.6413,2.5625
11/15/1973,4.645,0.6445,2.555
11/16/1973,4.705,0.647,2.5725
11/19/1973,4.675,0.6503,2.5875
11/20/1973,4.765,0.64,2.6875
11/21/1973,4.735,0.6381,2.7725
11/23/1973,4.795,0.641,2.725
11/26/1973,4.645,0.6275,2.625
11/27/1973,4.763,0.628,2.545
11/28/1973,4.931,0.6344,2.6525
11/29/1973,4.884,0.6498,2.631
11/30/1973,4.7465,0.6534,2.6385
12/3/1973,4.835,0.6618,2.63
12/4/1973,5.035,0.6645,2.7275
12/5/1973,4.97,0.6655,2.6275
12/6/1973,5.15,0.664,2.6825
12/7/1973,5.29,0.6718,2.6825
12/10/1973,5.235,0.685,2.6625
12/11/1973,5.435,0.6735,2.7425
12/12/1973,5.305,0.6739,2.7025
12/13/1973,5.245,0.6698,2.71
12/14/1973,5.11,0.667,2.6813
12/17/1973,5.31,0.6688,2.74
12/18/1973,5.125,0.6693,2.69
12/19/1973,5.19,0.672,2.715
12/20/1973,5.175,0.6728,2.72
12/21/1973,5.215,0.6733,2.7125
12/26/1973,5.075,0.6763,2.6725
12/27/1973,5.175,0.674,2.7025
12/28/1973,5.36,0.6705,2.7125
12/31/1973,5.45,0.674,2.6875
1/2/1974,5.545,0.689,2.735
1/3/1974,5.56,0.688,2.72
1/4/1974,5.555,0.684,2.7325
1/7/1974,5.755,0.6978,2.8125
1/8/1974,5.87,0.692,2.825
1/9/1974,5.67,0.6903,2.7675
1/10/1974,5.83,0.6958,2.865
1/11/1974,5.73,0.7085,2.8475
1/14/1974,5.89,0.7285,2.89
1/15/1974,5.79,0.7195,2.8725
1/16/1974,5.695,0.7238,2.885
1/17/1974,5.66,0.719,2.9175
1/18/1974,5.48,0.718,2.895
1/21/1974,5.68,0.738,2.9275
1/22/1974,5.67,0.731,2.8675
1/23/1974,5.47,0.7225,2.8075
1/24/1974,5.55,0.7405,2.8425
1/25/1974,5.75,0.7485,2.9425
1/28/1974,5.95,0.7425,2.9875
1/29/1974,5.855,0.7373,2.9475
1/30/1974,5.71,0.7328,2.9825
1/31/1974,5.645,0.7265,3.0175
2/1/1974,5.715,0.7333,3.015
2/4/1974,5.515,0.7533,3
2/5/1974,5.605,0.755,2.9875
2/6/1974,5.58,0.7405,2.9625
2/7/1974,5.67,0.75,2.9725
2/8/1974,5.805,0.768,3.0325
2/11/1974,5.915,0.788,3.0675
2/13/1974,5.915,0.768,3.0425
2/14/1974,6.115,0.773,3.0875
2/15/1974,6.315,0.78,3.115
2/19/1974,6.295,0.76,3.205
2/20/1974,6.285,0.7425,3.23
2/21/1974,6.135,0.7625,3.2075
2/22/1974,6.2475,0.7548,3.2875
2/25/1974,6.336,0.7476,3.399
2/26/1974,6.177,0.7625,3.3885
2/27/1974,5.958,0.7442,3.3015
2/28/1974,5.7395,0.7347,3.2145
3/1/1974,5.81,0.737,3.305
3/4/1974,5.77,0.7181,3.205
3/5/1974,5.57,0.7025,3.105
3/6/1974,5.375,0.719,3.0925
3/7/1974,5.515,0.72,3.1475
3/8/1974,5.315,0.7248,3.0475
3/11/1974,5.235,0.7208,2.995
3/12/1974,5.33,0.7208,3.0375
3/13/1974,5.325,0.7233,3.0425
3/14/1974,5.22,0.7393,3.0125
3/15/1974,5.02,0.7363,2.9125
3/18/1974,5.065,0.7433,3.01
3/19/1974,4.95,0.7318,3.0725
